subject,task1,task2,sequence
1,tom,whyhow,1
2,tom,posner,2
3,posner,mem,6
4,tom,mem,3
5,whyhow,mem,5
6,whyhow,posner,4
7,tom,posner,2
8,tom,mem,3
9,tom,whyhow,1
10,whyhow,posner,4
11,posner,mem,6
12,whyhow,mem,5
13,tom,mem,3
14,whyhow,posner,4
15,tom,posner,2
16,whyhow,mem,5
17,tom,whyhow,1
18,posner,mem,6
19,whyhow,posner,4
20,whyhow,mem,5
21,tom,mem,3
22,posner,mem,6
23,tom,posner,2
24,tom,whyhow,1
25,whyhow,mem,5
26,posner,mem,6
27,whyhow,posner,4
28,tom,whyhow,1
29,tom,mem,3
30,tom,posner,2
31,posner,mem,6
32,tom,whyhow,1
33,whyhow,mem,5
34,tom,posner,2
35,whyhow,posner,4
36,tom,mem,3
37,whyhow,tom,1
38,posner,tom,2
39,mem,posner,6
40,mem,tom,3
41,mem,whyhow,5
42,posner,whyhow,4
43,posner,tom,2
44,mem,tom,3
45,whyhow,tom,1
46,posner,whyhow,4
47,mem,posner,6
48,mem,whyhow,5
49,mem,tom,3
50,posner,whyhow,4
51,posner,tom,2
52,mem,whyhow,5
53,whyhow,tom,1
54,mem,posner,6
55,posner,whyhow,4
56,mem,whyhow,5
57,mem,tom,3
58,mem,posner,6
59,posner,tom,2
60,whyhow,tom,1
61,mem,whyhow,5
62,mem,posner,6
63,posner,whyhow,4
64,whyhow,tom,1
65,mem,tom,3
66,posner,tom,2
67,mem,posner,6
68,whyhow,tom,1
69,mem,whyhow,5
70,posner,tom,2
71,posner,whyhow,4
72,mem,tom,3
73,tom,whyhow,1
74,tom,posner,2
75,posner,mem,6
76,tom,mem,3
77,whyhow,mem,5
78,whyhow,posner,4
79,tom,posner,2
80,tom,mem,3
81,tom,whyhow,1
82,whyhow,posner,4
83,posner,mem,6
84,whyhow,mem,5
85,tom,mem,3
86,whyhow,posner,4
87,tom,posner,2
88,whyhow,mem,5
89,tom,whyhow,1
90,posner,mem,6
91,whyhow,posner,4
92,whyhow,mem,5
93,tom,mem,3
94,posner,mem,6
95,tom,posner,2
96,tom,whyhow,1
97,whyhow,mem,5
98,posner,mem,6
99,whyhow,posner,4
100,tom,whyhow,1
101,tom,mem,3
102,tom,posner,2
103,posner,mem,6
104,tom,whyhow,1
105,whyhow,mem,5
106,tom,posner,2
107,whyhow,posner,4
108,tom,mem,3
109,whyhow,tom,1
110,posner,tom,2
111,mem,posner,6
112,mem,tom,3
113,mem,whyhow,5
114,posner,whyhow,4
115,posner,tom,2
116,mem,tom,3
117,whyhow,tom,1
118,posner,whyhow,4
119,mem,posner,6
120,mem,whyhow,5
121,mem,tom,3
122,posner,whyhow,4
123,posner,tom,2
124,mem,whyhow,5
125,whyhow,tom,1
126,mem,posner,6
127,posner,whyhow,4
128,mem,whyhow,5
129,mem,tom,3
130,mem,posner,6
131,posner,tom,2
132,whyhow,tom,1
133,mem,whyhow,5
134,mem,posner,6
135,posner,whyhow,4
136,whyhow,tom,1
137,mem,tom,3
138,posner,tom,2
139,mem,posner,6
140,whyhow,tom,1
141,mem,whyhow,5
142,posner,tom,2
143,posner,whyhow,4
144,mem,tom,3
145,tom,whyhow,1
146,tom,posner,2
147,posner,mem,6
148,tom,mem,3
149,whyhow,mem,5
150,whyhow,posner,4
