Event1 onset	Trial type	ISI1	Event1Dur	
0.0000	1.0000	2.5848	2.5000	
5.0848	1.0000	0.7133	2.5000	
8.2981	2.0000	4.0000	2.5000	
14.7981	1.0000	1.3312	2.5000	
18.6293	2.0000	0.8140	2.5000	
21.9433	2.0000	2.5906	2.5000	
27.0339	2.0000	2.8306	2.5000	
32.3645	2.0000	0.5181	2.5000	
35.3826	2.0000	0.0039	2.5000	
37.8865	1.0000	0.6274	2.5000	
41.0139	1.0000	4.0000	2.5000	
47.5139	1.0000	4.0000	2.5000	
54.0139	2.0000	2.4691	2.5000	
58.9830	2.0000	0.7766	2.5000	
62.2596	2.0000	1.3312	2.5000	
66.0908	1.0000	0.1786	2.5000	
68.7694	2.0000	3.7428	2.5000	
75.0122	2.0000	2.0433	2.5000	
79.5555	1.0000	3.0694	2.5000	
85.1249	1.0000	4.0000	2.5000	
91.6249	2.0000	2.7634	2.5000	
96.8883	2.0000	4.0000	2.5000	
103.3883	1.0000	0.7415	2.5000	
106.6298	2.0000	2.3094	2.5000	
111.4392	1.0000	3.1946	2.5000	
117.1338	2.0000	0.6637	2.5000	
120.2975	1.0000	3.1694	2.5000	
125.9669	1.0000	4.0000	2.5000	
132.4669	1.0000	3.5967	2.5000	
138.5636	1.0000	2.1909	2.5000	
143.2545	2.0000	2.2722	2.5000	
148.0267	1.0000	0.6401	2.5000	
151.1668	2.0000	2.7050	2.5000	
156.3718	2.0000	0.1698	2.5000	
159.0416	1.0000	0.2724	2.5000	
161.8141	1.0000	0.1193	2.5000	
164.4334	2.0000	0.0761	2.5000	
167.0095	2.0000	0.8116	2.5000	
170.3211	1.0000	0.4881	2.5000	
173.3092	1.0000	0.8140	2.5000	
176.6233	2.0000	0.0895	2.5000	
179.2127	2.0000	0.9294	2.5000	
182.6422	1.0000	2.8906	2.5000	
188.0327	2.0000	0.7133	2.5000	
191.2461	2.0000	0.1754	2.5000	
193.9215	1.0000	4.0000	2.5000	
200.4215	1.0000	2.0268	2.5000	
204.9483	2.0000	4.0000	2.5000	
211.4483	1.0000	0.6910	2.5000	
214.6393	1.0000	4.0000	2.5000	
221.1393	2.0000	2.8250	2.5000	
226.4643	1.0000	1.1635	2.5000	
230.1278	2.0000	1.2559	2.5000	
233.8837	1.0000	0.0083	2.5000	
236.3920	1.0000	1.5267	2.5000	
240.4187	2.0000	1.1129	2.5000	
244.0316	2.0000	0.1015	2.5000	
246.6331	1.0000	0.0124	2.5000	
249.1455	1.0000	2.3094	2.5000	
253.9549	2.0000	4.0000	2.5000	
260.4549	2.0000	1.5267	2.5000	
264.4816	2.0000	4.0000	2.5000	
270.9816	1.0000	1.2559	2.5000	
274.7375	2.0000	1.9622	2.5000	
279.1997	1.0000	0.9854	2.5000	
282.6851	1.0000	4.0000	2.5000	
289.1851	2.0000	3.4946	2.5000	
295.1797	1.0000	4.0000	2.5000	
301.6797	2.0000	2.0375	2.5000	
306.2172	2.0000	0.7389	2.5000	
309.4562	1.0000	0.0039	2.5000	
311.9601	1.0000	0.1754	2.5000	
314.6355	2.0000	1.0434	2.5000	
318.1788	1.0000	3.0699	2.5000	
323.7487	2.0000	4.0000	2.5000	
330.2487	1.0000	4.0000	2.5000	
336.7487	1.0000	1.4377	2.5000	
340.6864	2.0000	4.0000	2.5000	
347.1864	2.0000	0.3677	2.5000	
350.0541	1.0000	0.5181	2.5000	
353.0722	2.0000	3.0694	2.5000	
358.6416	1.0000	1.0434	2.5000	
362.1849	2.0000	4.0000	2.5000	
368.6849	1.0000	0.7860	2.5000	
371.9710	2.0000	2.8620	2.5000	
377.3330	1.0000	4.0000	2.5000	
383.8330	2.0000	0.4881	2.5000	
386.8211	1.0000	0.0749	2.5000	
389.3960	2.0000	3.5967	2.5000	
395.4927	2.0000	4.0000	2.5000	
401.9927	2.0000	2.5848	2.5000	
407.0775	1.0000	2.7770	2.5000	
412.3545	1.0000	0.0895	2.5000	
414.9440	2.0000	3.9221	2.5000	
421.3661	1.0000	2.8250	2.5000	
426.6911	1.0000	0.1280	2.5000	
429.3191	1.0000	4.0000	2.5000	
435.8191	1.0000	0.6637	2.5000	
438.9827	2.0000	3.1946	2.5000	
444.6773	2.0000	4.0000	2.5000	
451.1773	1.0000	1.0237	2.5000	
454.7011	2.0000	0.1786	2.5000	
457.3797	1.0000	4.0000	2.5000	
463.8797	2.0000	1.5162	2.5000	
467.8960	1.0000	0.8086	2.5000	
471.2045	2.0000	1.5156	2.5000	
475.2201	2.0000	1.0033	2.5000	
478.7234	1.0000	1.1129	2.5000	
482.3363	2.0000	2.6033	2.5000	
487.4396	1.0000	0.6363	2.5000	
490.5759	2.0000	0.6773	2.5000	
493.7532	1.0000	4.0000	2.5000	
500.2532	1.0000	4.0000	2.5000	
506.7532	1.0000	0.9294	2.5000	
510.1827	2.0000	0.0749	2.5000	
512.7576	1.0000	4.0000	2.5000	
519.2576	2.0000	4.0000	2.5000	
525.7576	1.0000	1.0674	2.5000	
529.3249	2.0000	0.7860	2.5000	
532.6110	2.0000	4.0000	2.5000	

