Event1 onset	Trial type	ISI1	Event1Dur	
0.0000	2.0000	2.5936	5.0000	
7.5936	2.0000	4.0000	5.0000	
16.5936	2.0000	2.4285	5.0000	
24.0221	2.0000	0.6555	5.0000	
29.6776	1.0000	4.0000	5.0000	
38.6776	2.0000	4.0000	5.0000	
47.6776	1.0000	2.9011	5.0000	
55.5786	2.0000	1.3650	5.0000	
61.9437	1.0000	3.8557	5.0000	
70.7994	2.0000	3.2414	5.0000	
79.0408	2.0000	0.4296	5.0000	
84.4703	2.0000	0.8901	5.0000	
90.3604	1.0000	3.7850	5.0000	
99.1454	2.0000	2.1381	5.0000	
106.2835	2.0000	1.9168	5.0000	
113.2003	1.0000	0.6973	5.0000	
118.8976	2.0000	0.2493	5.0000	
124.1469	2.0000	0.0369	5.0000	
129.1838	2.0000	0.6466	5.0000	
134.8304	1.0000	4.0000	5.0000	
143.8304	2.0000	2.6549	5.0000	
151.4852	1.0000	4.0000	5.0000	
160.4852	2.0000	1.1005	5.0000	
166.5858	1.0000	3.9617	5.0000	
175.5474	2.0000	4.0000	5.0000	
184.5474	2.0000	4.0000	5.0000	
193.5474	1.0000	1.3542	5.0000	
199.9016	2.0000	0.1165	5.0000	
205.0182	1.0000	0.0417	5.0000	
210.0599	2.0000	1.7087	5.0000	
216.7686	2.0000	4.0000	5.0000	
225.7686	2.0000	0.1083	5.0000	
230.8769	1.0000	3.4313	5.0000	
239.3082	2.0000	4.0000	5.0000	
248.3082	2.0000	0.1787	5.0000	
253.4869	2.0000	3.8267	5.0000	
262.3136	2.0000	1.4332	5.0000	
268.7468	1.0000	3.0013	5.0000	
276.7481	2.0000	4.0000	5.0000	
285.7481	1.0000	4.0000	5.0000	
294.7481	1.0000	0.3503	5.0000	
300.0984	1.0000	0.8614	5.0000	
305.9598	1.0000	1.3303	5.0000	
312.2901	1.0000	1.2879	5.0000	
318.5781	1.0000	4.0000	5.0000	
327.5781	2.0000	1.3303	5.0000	
333.9084	2.0000	3.4519	5.0000	
342.3603	2.0000	0.3503	5.0000	
347.7106	1.0000	3.3875	5.0000	
356.0981	1.0000	0.4328	5.0000	
361.5310	2.0000	2.1303	5.0000	
368.6612	1.0000	0.3589	5.0000	
374.0201	2.0000	3.7850	5.0000	
382.8051	2.0000	3.3875	5.0000	
391.1926	2.0000	4.0000	5.0000	
400.1926	1.0000	0.3955	5.0000	
405.5881	1.0000	3.2414	5.0000	
413.8295	2.0000	0.3344	5.0000	
419.1638	1.0000	1.5173	5.0000	
425.6811	1.0000	0.1432	5.0000	
430.8244	2.0000	1.2281	5.0000	
437.0524	1.0000	2.7819	5.0000	
444.8343	1.0000	1.0661	5.0000	
450.9005	1.0000	4.0000	5.0000	
459.9005	1.0000	1.9515	5.0000	
466.8519	2.0000	4.0000	5.0000	
475.8519	1.0000	4.0000	5.0000	
484.8519	1.0000	0.2615	5.0000	
490.1134	1.0000	4.0000	5.0000	
499.1134	1.0000	1.7982	5.0000	
505.9117	2.0000	1.7996	5.0000	
512.7113	1.0000	0.9271	5.0000	
518.6384	1.0000	1.9168	5.0000	
525.5552	1.0000	0.3055	5.0000	
530.8607	1.0000	0.2294	5.0000	
536.0901	1.0000	2.5936	5.0000	
543.6837	1.0000	4.0000	5.0000	
552.6837	1.0000	0.1165	5.0000	
557.8002	1.0000	0.0369	5.0000	
562.8371	2.0000	0.7402	5.0000	
568.5773	2.0000	0.3963	5.0000	
573.9736	2.0000	1.8476	5.0000	
580.8212	2.0000	0.0343	5.0000	
585.8556	1.0000	0.0343	5.0000	
590.8899	1.0000	4.0000	5.0000	
599.8899	1.0000	0.7046	5.0000	
605.5944	2.0000	4.0000	5.0000	
614.5944	2.0000	1.2879	5.0000	
620.8824	1.0000	3.8267	5.0000	
629.7090	2.0000	0.0417	5.0000	
634.7508	2.0000	4.0000	5.0000	
643.7508	1.0000	4.0000	5.0000	
652.7508	1.0000	4.0000	5.0000	
661.7508	2.0000	4.0000	5.0000	
670.7508	2.0000	1.2949	5.0000	
677.0457	1.0000	0.7318	5.0000	
682.7775	2.0000	2.4116	5.0000	
690.1891	1.0000	0.3969	5.0000	
695.5860	1.0000	4.0000	5.0000	
704.5860	2.0000	0.6295	5.0000	
710.2155	1.0000	2.5852	5.0000	
717.8007	2.0000	4.0000	5.0000	
726.8007	1.0000	2.0307	5.0000	
733.8314	2.0000	3.0013	5.0000	
741.8327	2.0000	4.0000	5.0000	
750.8327	1.0000	0.5869	5.0000	
756.4196	2.0000	4.0000	5.0000	
765.4196	2.0000	2.5610	5.0000	
772.9806	1.0000	0.8901	5.0000	
778.8706	2.0000	1.3508	5.0000	
785.2214	1.0000	4.0000	5.0000	
794.2214	1.0000	2.9440	5.0000	
802.1655	1.0000	2.3299	5.0000	
809.4954	1.0000	2.1303	5.0000	
816.6257	2.0000	0.2294	5.0000	
821.8550	1.0000	4.0000	5.0000	
830.8550	1.0000	0.7898	5.0000	
836.6448	2.0000	1.3048	5.0000	
842.9497	2.0000	3.8557	5.0000	
851.8054	2.0000	1.2219	5.0000	

