Event1 onset,Trial type,ISI1,Event1Dur
0.0,2.0,0.6,2.5
3.1064,1.0,0.4,2.5
6.0137,1.0,3.0,2.5
11.5508,1.0,0.6,2.5
14.6294,1.0,1.4,2.5
18.5528,2.0,0.9,2.5
21.9227,1.0,1.0,2.5
25.3775,2.0,0.4,2.5
28.2292,1.0,1.4,2.5
32.0982,2.0,0.2,2.5
34.8266,1.0,1.8,2.5
39.1536,2.0,3.3,2.5
44.9147,2.0,4.0,2.5
51.4147,1.0,1.7,2.5
55.5983,2.0,0.2,2.5
58.2692,2.0,0.6,2.5
61.3842,2.0,0.1,2.5
63.9667,1.0,0.6,2.5
67.0672,2.0,0.1,2.5
69.6249,2.0,2.0,2.5
74.101,2.0,0.7,2.5
77.3346,1.0,0.2,2.5
80.063,1.0,0.0,2.5
82.6032,2.0,2.8,2.5
87.8794,2.0,0.0,2.5
90.4196,1.0,1.2,2.5
94.1469,2.0,4.0,2.5
100.6469,1.0,1.5,2.5
104.611,2.0,0.4,2.5
107.4998,2.0,0.3,2.5
110.2584,2.0,0.6,2.5
113.3128,1.0,4.7,2.5
117.7889,2.0,0.8,2.5
121.0532,2.0,4.0,2.5
127.5532,1.0,1.5,2.5
131.5155,2.0,0.1,2.5
134.0705,1.0,1.0,2.5
137.544,1.0,4.0,2.5
144.044,2.0,6.1,2.5
149.9895,1.0,4.0,2.5
156.4895,2.0,6.4,2.5
162.6443,1.0,0.7,2.5
165.8609,2.0,1.7,2.5
170.0445,1.0,2.6,2.5
175.1006,1.0,0.2,2.5
177.7714,2.0,1.2,2.5
181.5198,1.0,4.0,2.5
188.0198,2.0,0.4,2.5
190.8907,1.0,4.0,2.5
197.3907,2.0,4.0,2.5
203.8907,2.0,4.0,2.5
210.3907,2.0,1.0,2.5
213.8458,2.0,0.0,2.5
216.3934,1.0,0.0,2.5
218.911,2.0,3.4,2.5
224.8417,2.0,4.0,2.5
231.3417,2.0,5.4,2.5
236.5001,2.0,4.0,2.5
243.0001,2.0,2.3,2.5
247.8078,1.0,1.9,2.5
252.2163,2.0,4.0,2.5
258.7163,2.0,3.3,2.5
264.5473,2.0,1.5,2.5
268.5215,1.0,2.7,2.5
273.6799,2.0,0.3,2.5
276.4888,1.0,0.4,2.5
279.3596,2.0,0.9,2.5
282.719,2.0,0.6,2.5
285.8195,1.0,0.3,2.5
288.6284,2.0,1.4,2.5
292.5518,1.0,4.0,2.5
299.0518,1.0,6.7,2.5
305.5518,2.0,1.0,2.5
309.0067,1.0,0.7,2.5
312.2402,2.0,4.0,2.5
318.7402,1.0,6.7,2.5
325.2402,1.0,0.3,2.5
328.0794,2.0,2.8,2.5
333.3728,2.0,0.2,2.5
336.1001,2.0,0.6,2.5
339.1787,2.0,1.0,2.5
342.6697,1.0,4.0,2.5
349.1697,1.0,4.0,2.5
355.6697,1.0,5.2,2.5
360.6556,1.0,3.4,2.5
366.5863,1.0,3.3,2.5
372.4174,1.0,0.6,2.5
375.4787,2.0,6.7,2.5
381.9787,1.0,1.2,2.5
385.7271,2.0,4.3,2.5
389.8095,1.0,4.4,2.5
394.0245,2.0,0.0,2.5
396.5421,1.0,2.3,2.5
401.3498,1.0,0.1,2.5
403.9323,1.0,2.4,2.5
408.8227,1.0,2.0,2.5
413.3032,1.0,4.0,2.5
419.8032,1.0,1.6,2.5
423.8856,2.0,2.2,2.5
428.613,2.0,1.6,2.5
432.7579,1.0,0.9,2.5
436.1173,2.0,4.0,2.5
442.6173,1.0,2.1,2.5
447.2133,1.0,1.2,2.5
450.9583,2.0,4.0,2.5
457.4491,1.0,0.2,2.5
460.1763,2.0,0.4,2.5
463.115,2.0,0.1,2.5
465.7126,1.0,1.7,2.5
469.9045,1.0,0.9,2.5
473.2606,2.0,0.3,2.5
476.0998,1.0,0.5,2.5
479.1439,2.0,0.1,2.5
481.7298,1.0,4.0,2.5
488.2298,1.0,0.7,2.5
491.4757,2.0,3.0,2.5
497.0128,1.0,0.1,2.5
499.6292,1.0,1.6,2.5
503.7741,1.0,3.3,2.5
509.5502,1.0,1.0,2.5
