Event1 onset	Trial type	ISI1	Event1Dur	
0.0000	1.0000	2.5363	2.2000	
4.7363	1.0000	3.4173	2.2000	
10.3536	1.0000	1.0874	2.2000	
13.6410	2.0000	1.0244	2.2000	
16.8654	2.0000	0.8957	2.2000	
19.9611	2.0000	0.5820	2.2000	
22.7431	1.0000	0.7581	2.2000	
25.7013	2.0000	3.5915	2.2000	
31.4928	1.0000	5.0000	2.2000	
38.6928	1.0000	4.2693	2.2000	
45.1621	1.0000	1.5864	2.2000	
48.9485	2.0000	1.3063	2.2000	
52.4548	2.0000	1.2784	2.2000	
55.9332	1.0000	5.0000	2.2000	
63.1332	2.0000	0.9611	2.2000	
66.2943	1.0000	0.5270	2.2000	
69.0213	1.0000	0.6268	2.2000	
71.8482	1.0000	1.5450	2.2000	
75.5932	2.0000	0.7581	2.2000	
78.5513	1.0000	5.0000	2.2000	
85.7513	1.0000	1.2339	2.2000	
89.1852	1.0000	1.1241	2.2000	
92.5094	2.0000	0.9283	2.2000	
95.6376	2.0000	1.5769	2.2000	
99.4145	1.0000	0.5765	2.2000	
102.1910	2.0000	0.7688	2.2000	
105.1598	2.0000	5.0000	2.2000	
112.3598	1.0000	3.5402	2.2000	
118.1000	2.0000	4.3730	2.2000	
124.6729	1.0000	0.6979	2.2000	
127.5708	1.0000	5.0000	2.2000	
134.7708	2.0000	1.3353	2.2000	
138.3061	2.0000	5.0000	2.2000	
145.5061	2.0000	5.0000	2.2000	
152.7061	2.0000	4.1852	2.2000	
159.0912	1.0000	1.0938	2.2000	
162.3850	1.0000	1.4781	2.2000	
166.0630	2.0000	5.0000	2.2000	
173.2630	1.0000	0.9914	2.2000	
176.4545	1.0000	0.8118	2.2000	
179.4663	2.0000	5.0000	2.2000	
186.6663	2.0000	1.5982	2.2000	
190.4645	1.0000	1.4505	2.2000	
194.1150	1.0000	1.9216	2.2000	
198.2366	2.0000	0.9705	2.2000	
201.4070	1.0000	5.0000	2.2000	
208.6070	2.0000	3.7690	2.2000	
214.5760	1.0000	1.3197	2.2000	
218.0957	1.0000	1.4570	2.2000	
221.7527	1.0000	2.8275	2.2000	
226.7802	2.0000	1.7807	2.2000	
230.7610	2.0000	0.8487	2.2000	
233.8097	2.0000	2.5673	2.2000	
238.5769	1.0000	0.8487	2.2000	
241.6256	2.0000	5.0000	2.2000	
248.8256	2.0000	2.7687	2.2000	
253.7944	2.0000	3.9634	2.2000	
259.9578	1.0000	1.2144	2.2000	
263.3721	2.0000	0.6979	2.2000	
266.2700	2.0000	0.5270	2.2000	
268.9970	1.0000	3.1451	2.2000	
274.3422	1.0000	5.0000	2.2000	
281.5422	2.0000	1.0874	2.2000	
284.8295	1.0000	4.9156	2.2000	
291.9451	1.0000	1.5769	2.2000	
295.7220	2.0000	4.0498	2.2000	
301.9718	1.0000	1.6876	2.2000	
305.8594	2.0000	1.1241	2.2000	
309.1835	1.0000	2.5673	2.2000	
313.9508	2.0000	3.5402	2.2000	
319.6910	1.0000	4.0498	2.2000	
325.9407	1.0000	1.0079	2.2000	
329.1486	2.0000	0.9391	2.2000	
332.2877	1.0000	0.5543	2.2000	
335.0420	1.0000	3.7494	2.2000	
340.9914	2.0000	5.0000	2.2000	
348.1914	2.0000	2.9360	2.2000	
353.3274	2.0000	1.9216	2.2000	
357.4490	1.0000	0.8957	2.2000	
360.5447	2.0000	3.3846	2.2000	
366.1293	2.0000	1.0268	2.2000	
369.3561	1.0000	1.4470	2.2000	
373.0030	2.0000	0.7958	2.2000	
375.9988	1.0000	1.4860	2.2000	
379.6848	2.0000	1.5450	2.2000	
383.4299	2.0000	0.9914	2.2000	
386.6213	1.0000	0.9276	2.2000	
389.7489	2.0000	3.1451	2.2000	
395.0940	2.0000	1.2826	2.2000	
398.5765	1.0000	4.1852	2.2000	
404.9617	1.0000	3.4089	2.2000	
410.5706	1.0000	5.0000	2.2000	
417.7706	2.0000	5.0000	2.2000	
424.9706	2.0000	0.6268	2.2000	
427.7975	2.0000	0.5057	2.2000	
430.5031	1.0000	0.7958	2.2000	
433.4989	2.0000	1.2046	2.2000	
436.9035	1.0000	2.5750	2.2000	
441.6785	1.0000	3.1607	2.2000	
447.0392	2.0000	1.7291	2.2000	
450.9682	2.0000	1.1866	2.2000	
454.3549	1.0000	0.7090	2.2000	
457.2639	1.0000	1.9724	2.2000	
461.4362	2.0000	5.0000	2.2000	
468.6362	1.0000	5.0000	2.2000	
475.8362	2.0000	2.4168	2.2000	
480.4531	1.0000	2.0083	2.2000	
484.6613	1.0000	1.2826	2.2000	
488.1439	1.0000	1.2046	2.2000	
491.5485	2.0000	2.8275	2.2000	
496.5760	1.0000	0.7688	2.2000	
499.5447	2.0000	0.6073	2.2000	
502.3521	1.0000	2.9360	2.2000	
507.4881	2.0000	5.0000	2.2000	
514.6881	2.0000	0.8118	2.2000	
517.6999	1.0000	0.5820	2.2000	
520.4820	2.0000	4.9156	2.2000	
527.5976	2.0000	1.2339	2.2000	
531.0315	2.0000	1.4781	2.2000	
534.7095	1.0000	0.6573	2.2000	

