Event1 onset	Trial type	ISI1	Event1Dur	
0.0000	1.0000	3.4334	2.2000	
5.6334	1.0000	2.8832	2.2000	
10.7166	2.0000	0.6486	2.2000	
13.5652	1.0000	1.9671	2.2000	
17.7323	1.0000	0.6360	2.2000	
20.5682	2.0000	5.0000	2.2000	
27.7682	1.0000	4.0104	2.2000	
33.9787	2.0000	0.6315	2.2000	
36.8102	1.0000	0.5646	2.2000	
39.5747	1.0000	1.5218	2.2000	
43.2965	2.0000	1.3559	2.2000	
46.8524	1.0000	1.2049	2.2000	
50.2573	1.0000	0.5311	2.2000	
52.9885	2.0000	5.0000	2.2000	
60.1885	2.0000	4.2905	2.2000	
66.6790	1.0000	2.3403	2.2000	
71.2193	2.0000	0.9046	2.2000	
74.3239	2.0000	1.3518	2.2000	
77.8757	1.0000	0.8644	2.2000	
80.9401	2.0000	5.0000	2.2000	
88.1401	1.0000	0.6700	2.2000	
91.0101	2.0000	2.3403	2.2000	
95.5504	2.0000	0.5457	2.2000	
98.2962	1.0000	5.0000	2.2000	
105.4962	2.0000	0.8423	2.2000	
108.5384	2.0000	0.9606	2.2000	
111.6991	1.0000	0.5868	2.2000	
114.4859	1.0000	1.9592	2.2000	
118.6451	1.0000	4.4910	2.2000	
125.3362	1.0000	5.0000	2.2000	
132.5362	1.0000	1.4177	2.2000	
136.1539	2.0000	4.3523	2.2000	
142.7062	1.0000	1.8535	2.2000	
146.7597	2.0000	5.0000	2.2000	
153.9597	1.0000	1.9393	2.2000	
158.0990	2.0000	2.1066	2.2000	
162.4056	1.0000	0.8973	2.2000	
165.5029	1.0000	1.3405	2.2000	
169.0434	1.0000	0.7877	2.2000	
172.0310	1.0000	2.1112	2.2000	
176.3422	1.0000	2.9797	2.2000	
181.5220	1.0000	2.6396	2.2000	
186.3616	1.0000	4.9791	2.2000	
193.5407	2.0000	5.0000	2.2000	
200.7407	1.0000	0.9971	2.2000	
203.9377	2.0000	1.9592	2.2000	
208.0969	1.0000	0.7385	2.2000	
211.0354	2.0000	0.7385	2.2000	
213.9739	1.0000	1.3559	2.2000	
217.5299	1.0000	5.0000	2.2000	
224.7299	1.0000	0.7238	2.2000	
227.6537	1.0000	2.9430	2.2000	
232.7966	2.0000	1.3194	2.2000	
236.3160	1.0000	2.1066	2.2000	
240.6226	2.0000	2.9430	2.2000	
245.7656	2.0000	4.0104	2.2000	
251.9760	1.0000	1.0207	2.2000	
255.1967	2.0000	5.0000	2.2000	
262.3967	1.0000	3.9717	2.2000	
268.5684	2.0000	1.5650	2.2000	
272.3334	2.0000	0.9724	2.2000	
275.5059	1.0000	5.0000	2.2000	
282.7059	2.0000	3.9717	2.2000	
288.8775	2.0000	2.3476	2.2000	
293.4252	1.0000	4.2905	2.2000	
299.9157	2.0000	3.2281	2.2000	
305.3438	2.0000	0.6518	2.2000	
308.1956	1.0000	0.8295	2.2000	
311.2251	2.0000	2.3810	2.2000	
315.8061	1.0000	1.4821	2.2000	
319.4882	2.0000	1.3702	2.2000	
323.0584	1.0000	0.8791	2.2000	
326.1376	2.0000	1.5703	2.2000	
329.9079	2.0000	1.0550	2.2000	
333.1629	1.0000	4.0969	2.2000	
339.4597	2.0000	1.1840	2.2000	
342.8438	2.0000	0.6561	2.2000	
345.6999	2.0000	0.8973	2.2000	
348.7972	1.0000	3.2771	2.2000	
354.2743	2.0000	2.6396	2.2000	
359.1139	2.0000	5.0000	2.2000	
366.3139	2.0000	4.8486	2.2000	
373.3626	2.0000	0.7049	2.2000	
376.2674	1.0000	1.3194	2.2000	
379.7868	1.0000	1.6500	2.2000	
383.6369	2.0000	1.0886	2.2000	
386.9255	1.0000	2.3810	2.2000	
391.5064	1.0000	0.6561	2.2000	
394.3626	1.0000	5.0000	2.2000	
401.5626	1.0000	0.7646	2.2000	
404.5271	2.0000	0.6700	2.2000	
407.3972	1.0000	3.3805	2.2000	
412.9777	2.0000	5.0000	2.2000	
420.1777	2.0000	1.1656	2.2000	
423.5433	2.0000	0.7646	2.2000	
426.5078	1.0000	2.5418	2.2000	
431.2496	2.0000	2.9797	2.2000	
436.4294	1.0000	5.0000	2.2000	
443.6294	1.0000	1.0001	2.2000	
446.8294	2.0000	1.8934	2.2000	
450.9228	1.0000	0.5730	2.2000	
453.6958	1.0000	0.8423	2.2000	
456.7380	2.0000	1.0296	2.2000	
459.9677	2.0000	1.5218	2.2000	
463.6894	2.0000	1.9393	2.2000	
467.8287	2.0000	5.0000	2.2000	
475.0287	2.0000	4.9218	2.2000	
482.1505	1.0000	0.5457	2.2000	
484.8963	2.0000	1.6027	2.2000	
488.6990	2.0000	1.8483	2.2000	
492.7472	2.0000	1.9241	2.2000	
496.8713	1.0000	4.9218	2.2000	
503.9931	2.0000	1.3285	2.2000	
507.5216	1.0000	1.6935	2.2000	
511.4151	2.0000	2.1660	2.2000	
515.7811	1.0000	0.9046	2.2000	
518.8857	2.0000	1.5636	2.2000	
522.6492	2.0000	5.0000	2.2000	
529.8492	1.0000	5.0000	2.2000	
537.0492	2.0000	0.5646	2.2000	

