Event1 onset,Trial type,ISI1,Event1Dur
0.0,2.0,4.0,2.5
6.5,1.0,2.5,2.5
11.4687,2.0,0.9,2.5
14.8234,1.0,1.4,2.5
18.6905,1.0,0.9,2.5
22.0689,2.0,6.7,2.5
28.3017,1.0,4.0,2.5
34.8017,2.0,0.2,2.5
37.5438,1.0,0.2,2.5
40.2231,1.0,0.3,2.5
43.0356,2.0,5.7,2.5
48.2163,2.0,4.0,2.5
54.7163,2.0,0.7,2.5
57.8942,1.0,4.9,2.5
62.2847,2.0,0.5,2.5
65.269,1.0,1.5,2.5
69.2498,1.0,0.8,2.5
72.519,2.0,0.8,2.5
75.8314,1.0,0.7,2.5
79.0093,2.0,1.1,2.5
82.633,2.0,3.2,2.5
88.3574,1.0,3.4,2.5
94.3,2.0,0.7,2.5
97.4527,1.0,4.0,2.5
103.9527,2.0,0.7,2.5
107.1722,1.0,4.0,2.5
113.6722,2.0,4.0,2.5
120.1722,1.0,2.8,2.5
125.4905,2.0,0.6,2.5
128.5724,1.0,0.7,2.5
131.7955,2.0,3.5,2.5
137.7875,2.0,0.3,2.5
140.5641,2.0,0.8,2.5
143.8568,1.0,4.0,2.5
150.3568,1.0,0.9,2.5
153.7837,2.0,2.1,2.5
158.3497,1.0,1.7,2.5
162.5889,1.0,0.9,2.5
165.9436,1.0,0.6,2.5
169.0771,2.0,1.5,2.5
173.0839,1.0,3.0,2.5
178.569,2.0,4.7,2.5
182.7592,1.0,4.0,2.5
189.2592,2.0,0.6,2.5
192.3712,1.0,7.0,2.5
198.8712,2.0,3.3,2.5
204.6396,2.0,0.8,2.5
207.9718,2.0,0.5,2.5
210.9912,1.0,0.4,2.5
213.8672,2.0,3.0,2.5
219.3523,1.0,0.4,2.5
222.2811,2.0,0.1,2.5
224.8633,2.0,1.7,2.5
229.0859,2.0,0.3,2.5
231.8515,1.0,6.7,2.5
238.0843,2.0,6.3,2.5
243.9179,2.0,3.7,2.5
250.1257,1.0,4.0,2.5
256.6257,2.0,0.4,2.5
259.5548,1.0,4.0,2.5
266.0548,2.0,0.4,2.5
268.9309,2.0,4.0,2.5
275.4309,1.0,0.1,2.5
277.9965,2.0,2.3,2.5
282.7811,1.0,0.3,2.5
285.5539,2.0,0.2,2.5
288.2332,1.0,2.5,2.5
293.2283,1.0,4.0,2.5
299.7283,1.0,0.8,2.5
302.9808,1.0,1.7,2.5
307.2092,2.0,2.5,2.5
312.1778,1.0,0.6,2.5
315.2898,2.0,2.0,2.5
319.7646,2.0,0.5,2.5
322.7455,1.0,0.8,2.5
326.0605,2.0,0.1,2.5
328.6261,1.0,1.1,2.5
332.2333,2.0,4.0,2.5
338.7333,1.0,2.2,2.5
343.41,2.0,0.4,2.5
346.3172,1.0,0.2,2.5
349.0594,1.0,0.4,2.5
351.9174,1.0,1.7,2.5
356.14,2.0,0.2,2.5
358.7993,1.0,4.0,2.5
365.2993,1.0,2.9,2.5
370.6659,1.0,0.7,2.5
373.8186,1.0,4.0,2.5
380.3186,2.0,1.9,2.5
384.7091,1.0,0.3,2.5
387.4637,1.0,0.4,2.5
390.3934,1.0,2.8,2.5
395.6792,2.0,0.4,2.5
398.5372,2.0,0.2,2.5
401.2461,1.0,0.6,2.5
404.372,1.0,0.2,2.5
407.0314,2.0,0.8,2.5
410.3006,2.0,7.0,2.5
416.8006,2.0,0.8,2.5
420.0532,2.0,0.4,2.5
422.9082,1.0,0.5,2.5
425.889,2.0,5.8,2.5
431.1749,1.0,5.0,2.5
435.6358,2.0,0.9,2.5
439.0627,1.0,1.8,2.5
443.4088,1.0,0.1,2.5
445.991,2.0,4.0,2.5
452.491,2.0,0.3,2.5
455.3326,1.0,3.7,2.5
461.5795,1.0,1.1,2.5
465.132,2.0,1.4,2.5
469.0645,1.0,0.4,2.5
471.9195,2.0,1.0,2.5
475.4462,1.0,1.0,2.5
478.9729,1.0,2.1,2.5
483.5656,2.0,0.7,2.5
486.7886,1.0,3.3,2.5
492.557,2.0,4.0,2.5
499.057,2.0,4.0,2.5
505.557,2.0,1.1,2.5
