,sum_jitter
0,299.7
1,299.70000000000005
2,299.7
3,299.70000000000005
4,300.29999999999995
5,299.70000000000005
6,299.79999999999995
7,299.8
8,299.79999999999995
9,300.29999999999995
10,300.2
11,300.2
12,300.20000000000005
13,299.7
14,299.90000000000003
15,300.0
16,300.0
17,300.0
18,299.80000000000007
19,299.8
20,299.59999999999997
21,300.2
22,300.4
23,299.79999999999995
24,299.8
25,300.1
26,300.1
27,299.6
28,300.4
29,300.4
30,299.7
31,299.70000000000005
32,299.7
33,299.70000000000005
34,300.29999999999995
35,299.70000000000005
36,299.79999999999995
37,299.8
38,299.79999999999995
39,300.29999999999995
40,300.2
41,300.2
42,300.20000000000005
43,299.7
44,299.90000000000003
45,300.0
46,300.0
47,300.0
48,299.80000000000007
49,299.8
50,299.59999999999997
51,300.2
52,300.4
53,299.79999999999995
54,299.8
55,300.1
56,300.1
57,299.6
58,300.4
59,300.4
60,299.7
61,299.70000000000005
62,299.7
63,299.70000000000005
64,300.29999999999995
65,299.70000000000005
66,299.79999999999995
67,299.8
68,299.79999999999995
69,300.29999999999995
70,300.2
71,300.2
72,300.20000000000005
73,299.7
74,299.90000000000003
75,300.0
76,300.0
77,300.0
78,299.80000000000007
79,299.8
80,299.59999999999997
81,300.2
82,300.4
83,299.79999999999995
84,299.8
85,300.1
86,300.1
87,299.6
88,300.4
89,300.4
90,299.7
91,299.70000000000005
92,299.7
93,299.70000000000005
94,300.29999999999995
95,299.70000000000005
96,299.79999999999995
97,299.8
98,299.79999999999995
99,300.29999999999995
100,300.2
101,300.2
102,300.20000000000005
103,299.7
104,299.90000000000003
105,300.0
106,300.0
107,300.0
108,299.80000000000007
109,299.8
110,299.59999999999997
111,300.2
112,300.4
113,299.79999999999995
114,299.8
115,300.1
116,300.1
117,299.6
118,300.4
119,300.4
120,299.7
121,299.70000000000005
122,299.7
123,299.70000000000005
124,300.29999999999995
125,299.70000000000005
126,299.79999999999995
127,299.8
128,299.79999999999995
129,300.29999999999995
130,300.2
131,300.2
132,300.20000000000005
133,299.7
134,299.90000000000003
135,300.0
136,300.0
137,300.0
138,299.80000000000007
139,299.8
140,299.59999999999997
141,300.2
142,300.4
143,299.79999999999995
144,299.8
145,300.1
146,300.1
147,299.6
148,300.4
149,300.4
